S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
1.,"Agriculture, forestry and fishing",373362.669542388,455319.583218227,556608.7433,618524.5957,596987.4635,694282.4615,764499.0479,773927.1845,877544.95195,890635.22145,768735.4606
1.1,Crops,204303.98912991,262477.875,340577.3632,380195.0668,405509.5122,439813.5279,485885.582,473062.842,477618.2554,497213.9237,346088.456
1.2,Livestock,83146.6019938152,102361.300398227,115312.315,123895.5648,71416.3555,71576.194,94483.815,86062.474,90363.7492,75003.4795,70197.7651
1.3,Forestry and logging,79568.5032,83502.3057,93028.8342,105963.8112,110813.2966,172532.812,173027.7612,203156.0332,298190.516,306319.4232,339955.8642
1.4,Fishing and aquaculture,6343.5752186625,6978.10212,7690.2309,8470.1529,9248.2992,10359.9276,11101.8897,11645.8353,11372.43135,12098.39505,12493.3753
2.       ,Mining and quarrying,5659.691,6621.011,8005.4352,8398.246008,15900.3604,4692.2512,6007.278,10279.8266,28509.474,22999.8625,23927.0081
,Primary,379022.360542387,461940.594218227,564614.1785,626922.841708,612887.8239,698974.7127,770506.3259,784207.0111,906054.42595,913635.08395,792662.4687
3.       ,Manufacturing,15122.3365349662,19399.9064674852,16831.0727,24062.1687,26432.182,30403.0888,31859.0964,34357.2349,32504.2344,26177.3784,31845.8796
4.       ,"Electricity, gas, water supply & other utility services",29545.325,33795.038,34633.3524,38362.948,36164.7416,39505.478,51648.8016,53692.07,57393.872,59127.3882,64567.9739
5.       ,Construction,105135.141,113744.47165225,117861.5675,135297.0675,157865.2942,181175.6705,216322.7994,216496.371,216429.9816,201688.5285,248479.7792
,Secondary,149802.802534966,166939.416119735,169325.9926,197722.1842,220462.2178,251084.2373,299830.6974,304545.6759,306328.088,286993.2951,344893.6327
6.       ,"Trade, repair, hotels and restaurants",105152.389,124506.196,129374.1731,148614.9569,176008.3452,199430.856,240986.709,289172.5137,330315.8151,319563.761,251915.9274
6.1,Trade & repair services,100064.122,118794.774,123498.3611,142438.8129,169266.45,191893.416,232645.6854,279628.6185,319718.4921,314696.151,244069.56
6.2,Hotels & restaurants,5088.267,5711.422,5875.812,6176.144,6741.8952,7537.44,8341.0236,9543.8952,10597.323,4867.61,7846.3674
7.       ,"Transport, storage, communication & services related to broadcasting",57817.666,63550.0285,71190.3737,82644.8199,92988.453,101064.6386,108401.6014,120877.6582,121562.4777,115277.2516,140866.976
7.1,Railways,378,452,285,362,421,354,363,216,269,315,781
7.2,Road transport,32071.515,36447.2323,34417.152,41302.2753,45749.414,50463.9652,57129.435,69937.6685,74552.6217,54427.5654,68003.4384
7.3,Water transport,1319.3167,689.71,466.1888,569.3259,606.39,717.4036,591.3,1007.104,1006.3634,1345.8146,2082.2208
7.4,Air transport,937.0203,1743.981,1514.8672,2420.3751,1015.58,1211.7904,1364.9175,714.021,1273.2171,1039.9922,1343.7817
7.5,Services incidental to transport,0,0,0,0,0,3309.7272,3388.149,4050.053,4096.352,1033.1308,1602.0875
7.6,Storage,62.6598,97.3532,80.1657,96.8436,97.069,117.7522,68.7999,268.8117,152.9235,87.8328,131.5776
7.7,Communication & services related to broadcasting,23049.1542,24119.752,34427,37894,45099,44890,45496,44684,40212,57027.9158,66922.87
8.       ,Financial services,47701,53134,57079,51073,54369,53975,61020,70159,70710,88026,205994
9.       ,"Real estate, ownership of dwelling & professional services",129295.8744,139145.5225,147985.8072,156824.374,155184.1417,160603.8941,166221.6524,177441.7056,174132.4603,177211.2666,189219.406
10.   ,Public administration,182188,195575,264724,308021,352888,376398,415226,501413,525433,503411,616176
11.   ,Other services,155696.3436,196428.208,237768.1152,252570.8322,262444.958,283075.94,313781.0819,344797.926,427716.4463,460441.0536,518600.8761
,Tertiary,677851.273,772338.955,908121.4692,999748.983,1093882.8979,1174548.3287,1305637.0447,1503861.8035,1649870.1994,1663930.3328,1922773.1855
12.,TOTAL GSVA at basic prices,1206676.43607735,1401218.96533796,1642061.6403,1824394.008908,1927232.9396,2124607.2787,2375974.068,2592614.4905,2862252.71335,2864558.71185,3060329.2869
13.,Taxes on Products,38290,44596,50411,53049,60279,70061,84054,101096,130670,159456,197122
14.,Subsidies on products,27290,33688,31300,37376,35117,22423,20732,40968,21336,40851,66197
15.,Gross State Domestic Product,1217676.43607735,1412126.96533796,1661172.6403,1840067.008908,1952394.9396,2172245.2787,2439296.068,2652742.4905,2971586.71335,2983163.71185,3191254.2869
16.,Population ('00),19910,20120,20340,20550,20770,20990,21220,21440,21610,21920,22130
17.,Per Capita GSDP (Rs.),61159.0374724939,70185.2368458232,81670.2379695182,89540.9736694891,94000.7192874338,103489.532096236,114952.68934967,123728.6609375,137509.797008329,136093.235029653,144204.893217352
